# vehicleID, total_hours, total_fuel, fuel / hours
1022011,4360.39,225164.54999999996,51.63862636140344
1022012,4697.089999999999,215427.18,45.8639668390429
1022013,4483.599999999999,220149.56000000008,49.10107056829336
1022014,4354.219999999996,223952.25,51.43337957200146
1022015,4523.069999999996,210873.21000000008,46.62169942096856
1022016,4416.430000000005,228564.80999999994,51.75329621436311
1022017,4586.239999999996,202169.83000000045,44.081825198855846
1022018,4505.639999999997,205936.12000000002,45.70629699665312
1022019,4190.050000000002,214792.44999999992,51.26250283409502
1022020,4372.060000000001,231761.42000000007,53.00966134956977
1022021,4535.059999999999,214987.06,47.40556023514574
1022022,4282.800000000002,217278.02,50.7327029046418
1022023,4379.890000000001,220654.91999999995,50.37910084499837
1022024,4113.32,212214.30999999997,51.59197679733159
1022025,4365.59,215112.04000000018,49.27444858541461
1022026,4197.039999999999,218622.56000000014,52.08970131330657
1022027,4234.2899999999945,206170.30000000013,48.690642350901896
1022028,4600.630000000001,201986.46000000005,43.904087048947645
1022029,4491.69,220179.5000000001,49.0193000852686
1022030,4273.690000000001,218415.17999999993,51.106931012778155
1022031,4348.469999999999,199060.05,45.77703192157242
1022032,4590.720000000002,223461.58,48.67680450996791
1022033,4254.449999999999,217209.29999999993,51.05461340478792
1022034,4497.999999999995,223503.85000000006,49.689606491774185
1022035,4413.859999999999,205880.49000000005,46.64409156611222
1022036,4317.559999999998,224277.4599999998,51.94541824549049
1022037,4335.910000000001,210033.54000000007,48.440475009859526
1022038,4354.0999999999985,209029.46999999986,48.00750327277736
1022039,4257.819999999999,218551.92999999996,51.329537180998734
1022040,4404.880000000002,218216.78999999995,49.53978087938828
1022041,4589.969999999995,216934.00000000006,47.26261827419358
1022042,4335.419999999998,208309.54999999978,48.04829751212105
1022043,4629.12,207947.17000000025,44.921533682427814
1022044,4610.799999999999,225191.27999999988,48.839958358636224
1022045,4465.530000000002,224027.06999999992,50.16808083251033
1022046,4310.019999999999,218729.35999999993,50.7490359673505
1022047,4281.7699999999995,221432.2699999999,51.715124819875875
1022048,4140.800000000002,216550.07999999993,52.296676970633655
1022049,4519.859999999994,218938.11999999976,48.439137495409156
